10-19,weight
127.1416532848303,55.95
142.35870187663275,56.7
89.47066558375433,54.15
115.69356075426151,55.45
151.15885683611134,57.25
250.88842141477954,62.25
206.30559856678641,59.8
207.460839678239,60.4
113.17685275708986,55.4
175.13708916160505,58.65
189.69449122207,58.9
232.55106965997814,60.85
141.6827441857335,56.9
252.38462710712002,62.3
129.1394595001853,56.1
235.5674001214939,61.3
176.47662734764626,58.3
154.54772725601632,57.1
109.25200226998129,55.1
161.75598906995683,57.75
202.1806123247232,59.5
281.81021982887705,63.25
261.83964558485025,63.2
104.65658125507444,54.85
105.30906893520614,55.0
166.96406799069075,58.1
194.24983912477248,59.05
172.5688268488837,58.0
149.88328792764054,57.15
148.03377992877162,57.0
149.34523762075574,57.05
282.55441953719287,62.65
152.10851389715177,57.25
143.7567389724739,56.85
126.19429464123962,56.3
174.26416728633572,58.05
85.47514258543241,54.05
132.5481044753187,56.5
179.12007146045917,58.75
150.3761949245957,57.05
112.307613277106,55.35
235.49097647256042,61.45
194.9974358805777,59.35
267.4471910489994,62.9
98.11218069128829,54.55
101.51354589413178,54.9
91.706052144883,54.35
82.76472678623425,54.05
230.4886114323222,60.9
112.20071301021221,55.4
246.05893602956183,61.45
84.8528137423857,54.25
95.80187889597993,54.7
105.84894897919392,55.0
162.36070953281768,58.25
223.80571931923458,60.45
158.35403373454054,57.3
367.30641159663963,66.9
88.10221336606703,54.2
394.97468273295686,68.95
137.20058308913997,56.1
124.39051410778879,55.85
92.78469701410894,54.45
263.7062759966095,62.6
131.18307817702708,56.05
113.44161493913951,55.25
237.19190542680835,61.35
271.4129694764051,62.65
106.6770828247567,54.9
202.48456731316588,59.85
191.10729970359586,59.25
174.89711261195825,58.1
211.69789795838787,59.9
250.88842141477954,63.0
142.07744367069668,56.95
90.24965373894794,54.4
211.51359294381058,60.2
89.88882021697692,54.25
103.39245620450264,55.1
87.23531395025755,54.15
229.88910370002318,60.45
148.94629904767692,56.85
202.35612172603032,60.1
252.23203603031868,61.75
