10-19,8-26,bmi
127.1416532848303,121.2023102090055,55.95
142.35870187663275,143.17122615944868,56.7
89.47066558375433,85.86617494683223,54.15
115.69356075426151,115.41230437002808,55.45
151.15885683611134,144.4749113168096,57.25
250.88842141477954,252.28555249954368,62.25
206.30559856678641,209.3895890439637,59.8
207.460839678239,208.9042843026442,60.4
113.17685275708986,115.83609109426992,55.4
175.13708916160505,180.49930747789588,58.65
189.69449122207,185.43192821086663,58.9
232.55106965997814,228.17756243767704,60.85
141.6827441857335,140.42791745233566,56.9
252.38462710712002,258.4898450616581,62.3
129.1394595001853,131.94695904036593,56.1
235.5674001214939,243.3536521197083,61.3
176.47662734764626,176.6635219845908,58.3
154.54772725601632,151.47607071745688,57.1
109.25200226998129,109.0,55.1
161.75598906995683,165.94577427581578,57.75
202.1806123247232,199.32385707686882,59.5
281.81021982887705,277.74268667239465,63.25
261.83964558485025,273.70787347096905,63.2
104.65658125507444,103.31021246711285,54.85
105.30906893520614,107.93516572461452,55.0
166.96406799069075,168.75129629131743,58.1
194.24983912477248,185.9516066077408,59.05
172.5688268488837,167.1556161186336,58.0
149.88328792764054,155.20631430454108,57.15
148.03377992877162,152.0690632574555,57.0
149.34523762075574,146.2908062729849,57.05
282.55441953719287,254.31083343027288,62.65
152.10851389715177,150.58552387264854,57.25
143.7567389724739,145.3444185374863,56.85
126.19429464123962,131.24404748406687,56.3
174.26416728633572,169.26015479137433,58.05
85.47514258543241,86.92525524840292,54.05
132.5481044753187,130.54118124178282,56.5
179.12007146045917,177.50774630984418,58.75
150.3761949245957,152.97712247261023,57.05
112.307613277106,111.01801655587259,55.35
235.49097647256042,238.15961034566715,61.45
194.9974358805777,199.60210419732556,59.35
267.4471910489994,273.82658746002005,62.9
98.11218069128829,97.57561170702442,54.55
101.51354589413178,101.87246929372036,54.9
91.706052144883,89.89438247187641,54.35
82.76472678623425,85.0,54.05
230.4886114323222,226.38462845343545,60.9
112.20071301021221,114.16216536138408,55.4
246.05893602956183,241.3731550939333,61.45
84.8528137423857,85.70880934886449,54.25
95.80187889597993,93.81364506296512,54.7
105.84894897919392,108.16653826391969,55.0
162.36070953281768,167.93153366774212,58.25
223.80571931923458,215.61539833694627,60.45
158.35403373454054,156.11854470241516,57.3
367.30641159663963,356.18674877092207,66.9
88.10221336606703,89.8999443826302,54.2
394.97468273295686,376.9615364994153,68.95
137.20058308913997,134.71822445385777,56.1
124.39051410778879,121.26417442921878,55.85
92.78469701410894,93.2308961664533,54.45
263.7062759966095,263.9412813487121,62.6
131.18307817702708,126.77933585565118,56.05
113.44161493913951,112.2541758688736,55.25
237.19190542680835,236.5967032737354,61.35
271.4129694764051,269.59599403551977,62.65
106.6770828247567,104.2784733298297,54.9
202.48456731316588,200.48940121612412,59.85
191.10729970359586,190.39432764659767,59.25
174.89711261195825,174.4276354251241,58.1
211.69789795838787,209.05740838343903,59.9
250.88842141477954,269.63122964523234,63.0
142.07744367069668,142.2989810223531,56.95
90.24965373894794,91.0659101969557,54.4
211.51359294381058,207.1955597979841,60.2
89.88882021697692,89.47066558375433,54.25
103.39245620450264,102.17631819555841,55.1
87.23531395025755,86.92525524840292,54.15
229.88910370002318,235.74774654278247,60.45
148.94629904767692,144.08677940741129,56.85
202.35612172603032,196.20907216538183,60.1
252.23203603031868,257.2353008434107,61.75
203.08126452235814,213.8621051051354,59.9
98.97979591815695,98.61541461658008,54.7
305.8120337723812,302.20026472523153,64.25
186.9545399288287,182.52944967867515,58.7
126.49110640673516,132.28000604777728,56.45
